device_id,device_name,wallet_id,location
1,Industrial Sensor 1,698,Brasov
2,Smart Light 2,30378,Paris
3,Smart Lock 3,34554,Prague
4,Smart Light 4,16569,Warsaw
5,Motion Sensor 5,57205,Craiova
6,Environmental Sensor 6,11903,Sibiu
7,GPS Tracker 7,97464,Warsaw
8,Smart Light 8,69002,Barcelona
9,Industrial Sensor 9,30080,Bucharest
10,Temperature Sensor 10,72749,Warsaw
11,Humidity Sensor 11,14661,Budapest
12,Smart Meter 12,86183,Arad
13,Smart Thermostat 13,16975,Craiova
14,Smart Light 14,49169,Amsterdam
15,Industrial Sensor 15,91433,Arad
16,Industrial Sensor 16,23871,Barcelona
17,Industrial Sensor 17,16718,Constanta
18,IoT Gateway 18,81881,Cluj-Napoca
19,Humidity Sensor 19,52142,Munich
20,IoT Gateway 20,57861,Oradea
21,Smart Lock 21,89313,Timisoara
22,Energy Monitor 22,73336,Prague
23,IoT Gateway 23,49715,Amsterdam
24,Smart Thermostat 24,54830,Brasov
25,Motion Sensor 25,57897,Iasi
26,Smart Light 26,61177,Brasov
27,IoT Gateway 27,41279,Bucharest
28,Security Camera 28,11871,Constanta
29,Humidity Sensor 29,90019,Cluj-Napoca
30,Smart Meter 30,62007,Amsterdam
31,IoT Gateway 31,16376,Warsaw
32,Environmental Sensor 32,41460,Budapest
33,Water Sensor 33,7407,Munich
34,Energy Monitor 34,31068,Berlin
35,Smart Thermostat 35,61023,Craiova
36,IoT Gateway 36,52938,Vienna
37,Smart Meter 37,42760,Oradea
38,IoT Gateway 38,26131,Craiova
39,Smart Thermostat 39,66243,Amsterdam
40,Smart Meter 40,11003,Iasi
41,Security Camera 41,3463,Barcelona
42,GPS Tracker 42,5662,Paris
43,Smart Light 43,1041,Berlin
44,Smart Thermostat 44,24331,Iasi
45,Smart Meter 45,53208,Sibiu
46,Energy Monitor 46,92517,Paris
47,Smart Meter 47,78516,Bucharest
48,Water Sensor 48,9542,Vienna
49,Smart Light 49,74834,Munich
50,Security Camera 50,9116,Paris
51,Smart Light 51,58210,Amsterdam
52,Smart Lock 52,50080,Amsterdam
53,Water Sensor 53,59027,Amsterdam
54,Smart Light 54,51210,Cluj-Napoca
55,Security Camera 55,1726,Cluj-Napoca
56,Smart Thermostat 56,28528,Oradea
57,Smart Lock 57,57125,Bucharest
58,GPS Tracker 58,10437,Brasov
59,Smart Meter 59,38516,Cluj-Napoca
60,Smart Thermostat 60,49810,Paris
61,Water Sensor 61,19244,Prague
62,Industrial Sensor 62,52086,Oradea
63,Smart Lock 63,60394,Warsaw
64,Smart Meter 64,25065,Amsterdam
65,GPS Tracker 65,16644,Paris
66,Air Quality Sensor 66,90523,Arad
67,IoT Gateway 67,467,Paris
68,Temperature Sensor 68,13602,Paris
69,Water Sensor 69,40950,Iasi
70,Smart Lock 70,70514,Iasi
71,Humidity Sensor 71,28670,Brasov
72,Motion Sensor 72,1434,Bucharest
73,Water Sensor 73,24699,Budapest
74,Environmental Sensor 74,82822,Prague
75,Temperature Sensor 75,48699,Prague
76,Smart Lock 76,69164,Cluj-Napoca
77,Humidity Sensor 77,26212,Berlin
78,Energy Monitor 78,5918,Arad
79,IoT Gateway 79,69264,Iasi
80,GPS Tracker 80,45073,Amsterdam
81,Motion Sensor 81,31219,Bucharest
82,GPS Tracker 82,77980,Madrid
83,Environmental Sensor 83,58620,Oradea
84,IoT Gateway 84,90434,Bucharest
85,Smart Lock 85,27764,Oradea
86,Smart Light 86,28146,Amsterdam
87,Humidity Sensor 87,58469,Warsaw
88,GPS Tracker 88,48691,Brasov
89,Humidity Sensor 89,58424,Barcelona
90,Humidity Sensor 90,88755,Constanta
91,Water Sensor 91,94150,Sibiu
92,Air Quality Sensor 92,14659,Warsaw
93,Environmental Sensor 93,45542,Warsaw
94,Smart Lock 94,37076,Iasi
95,Water Sensor 95,79141,Vienna
96,Smart Thermostat 96,87435,Berlin
97,Environmental Sensor 97,75951,Arad
98,Industrial Sensor 98,47177,Constanta
99,Smart Thermostat 99,9579,Budapest
100,Smart Meter 100,1504,Barcelona
101,Smart Meter 101,86273,Arad
102,Motion Sensor 102,60327,Warsaw
103,Temperature Sensor 103,27080,Sibiu
104,Industrial Sensor 104,47341,Craiova
105,Smart Thermostat 105,29088,Iasi
106,Energy Monitor 106,15553,Constanta
107,Smart Meter 107,16490,Warsaw
108,Smart Thermostat 108,52401,Arad
109,Motion Sensor 109,43933,Sibiu
110,IoT Gateway 110,88957,Amsterdam
111,Energy Monitor 111,72192,Berlin
112,Energy Monitor 112,67502,Vienna
113,GPS Tracker 113,9830,Bucharest
114,Smart Lock 114,86379,Oradea
115,Humidity Sensor 115,48166,Barcelona
116,Temperature Sensor 116,33679,Cluj-Napoca
117,Environmental Sensor 117,8412,Berlin
118,Smart Light 118,9090,Timisoara
119,Humidity Sensor 119,39911,Berlin
120,IoT Gateway 120,52837,Oradea
121,Energy Monitor 121,9629,Arad
122,Security Camera 122,55492,Prague
123,Temperature Sensor 123,79169,Prague
124,Security Camera 124,45885,Paris
125,Humidity Sensor 125,98777,Berlin
126,Water Sensor 126,97749,Craiova
127,Humidity Sensor 127,50943,Craiova
128,Security Camera 128,74763,Paris
129,Smart Lock 129,39534,Constanta
130,Motion Sensor 130,55742,Sibiu
131,GPS Tracker 131,34140,Sibiu
132,GPS Tracker 132,71886,Arad
133,Energy Monitor 133,65646,Arad
134,Water Sensor 134,4564,Bucharest
135,Smart Lock 135,69574,Berlin
136,Air Quality Sensor 136,57649,Brasov
137,Smart Meter 137,60062,Timisoara
138,Motion Sensor 138,78332,Paris
139,Industrial Sensor 139,15877,Warsaw
140,Smart Meter 140,16513,Sibiu
141,Humidity Sensor 141,59001,Paris
142,Security Camera 142,79896,Madrid
